Date	Time	CO_GT	PT08.S1_CO	NMHC_GT	C6H6_GT	PT08.S2_NMHC	NOx_GT	PT08.S3_NOx	NO2_GT	PT08.S4_NO2	PT08.S5_O3	T	RH	AH
03/07/2004	21.00.00	1,5	1045		9,0	940	90	822	94	1658	920	27,4	33,4	1,2022
03/07/2004	22.00.00	2	1125		11,6	1035	122	728	109	1726	1150	26,7	35,8	1,2318
03/07/2004	23.00.00	1,9	1138		10,2	985	120	742	103	1710	1141	25,2	42,7	1,3473
04/07/2004	00.00.00	2,2	1217		12,3	1060	126	660	101	1840	1227	24,0	51,9	1,5252
04/07/2004	01.00.00	1,1	983		6,4	831	68	847	71	1585	887	24,5	44,4	1,3476
04/07/2004	02.00.00	1,1	1007		7,2	864	65	816	71	1639	987	22,6	51,0	1,3805
04/07/2004	03.00.00	0,8	957		6,1	816		846		1613	903	22,2	52,7	1,3891
04/07/2004	04.00.00	0,6	914		4,3	725	38	949	49	1550	780	21,2	56,8	1,4094
04/07/2004	05.00.00	0,6	886		3,8	702	31	971	43	1528	767	20,3	59,6	1,3994
04/07/2004	06.00.00	0,6	899		4,0	708	40	972	44	1559	780	21,3	56,7	1,4178
04/07/2004	07.00.00	0,6	942		4,2	723	36	968	42	1573	698	23,0	54,6	1,5177
04/07/2004	08.00.00	1,1	1022		6,1	817	64	835	69	1669	821	23,7	54,3	1,5731
04/07/2004	09.00.00	1	1009		6,0	810	56	859	65	1634	772	25,4	49,3	1,5732
04/07/2004	10.00.00	1	1025		5,9	809	56	877	68	1606	690	29,6	37,7	1,5440
04/07/2004	11.00.00	1	977		5,4	783	43	939	58	1543	586	33,9	26,2	1,3664
04/07/2004	12.00.00	0,8	936		4,9	757	40	1007	52	1459	523	35,8	22,4	1,2933
04/07/2004	13.00.00	0,7	884		3,9	703	34	1076	46	1394	488	37,9	18,8	1,2220
04/07/2004	14.00.00	0,4	809		3,2	664	28	1185	40	1270	427	38,5	14,8	0,9942
04/07/2004	15.00.00	0,5	852		4,1	718	32	1109	47	1307	468	39,3	14,5	1,0149
04/07/2004	16.00.00	0,6	872		4,0	708	39	1106	56	1331	489	38,9	15,6	1,0613
04/07/2004	17.00.00	0,7	839		4,8	752	52	1102	64	1298	515	37,9	12,7	0,8211
04/07/2004	18.00.00	0,9	854		5,5	788	60	1064	71	1310	562	35,8	13,4	0,7749
04/07/2004	19.00.00	1,6	971		9,1	942	104	900	103	1541	776	32,3	19,7	0,9345
04/07/2004	20.00.00	1,6	985		9,1	944	102	866	97	1541	833	30,1	23,5	0,9869
04/07/2004	21.00.00	1,7	1027		10,1	981	120	817	108	1631	1023	28,2	28,7	1,0806
04/07/2004	22.00.00	1,3	1012		7,4	876	89	853	87	1580	967	26,0	35,7	1,1842
04/07/2004	23.00.00	1,9	1086		9,9	973	121	766	104	1656	1089	25,3	39,2	1,2452
05/07/2004	00.00.00	1,5	1025		9,0	939	107	790	93	1635	1103	24,7	38,7	1,1845
05/07/2004	01.00.00	0,6	848		3,7	692	41	1034	55	1412	734	25,5	35,7	1,1499
05/07/2004	02.00.00	0,4	839		3,0	652	34	1075	49	1405	671	22,5	43,2	1,1589
05/07/2004	03.00.00	0,3	814		2,5	618		1097		1400	696	21,6	46,1	1,1761
05/07/2004	04.00.00		816		2,6	624	41	1073	56	1422	729	19,7	51,4	1,1688
05/07/2004	05.00.00	0,4	799		2,4	613	38	1120	43	1387	641	21,6	45,7	1,1665
05/07/2004	06.00.00	0,7	879		5,6	792	59	906	57	1521	825	21,1	47,3	1,1654
05/07/2004	07.00.00	2	1104		14,3	1125	165	697	80	1815	1179	21,6	44,1	1,1269
05/07/2004	08.00.00	3,9	1344		27,7	1496	287	519	134	2311	1651	23,7	37,9	1,0988
05/07/2004	09.00.00	3,6	1226		19,1	1272	317	632	157	1901	1474	26,0	30,1	0,9953
05/07/2004	10.00.00	3,2	1157		15,9	1176	330	691	175	1779	1370	30,6	23,2	1,0010
05/07/2004	11.00.00	2,2	1059		12,3	1060	204	798	147	1638	1141	34,1	19,1	1,0048
05/07/2004	12.00.00	2,2	1076		12,2	1057	189	778	140	1633	1076	36,2	18,0	1,0636
05/07/2004	13.00.00	2,1	1066		11,7	1041	165	783	137	1641	1036	37,4	17,3	1,0914
05/07/2004	14.00.00	1,8	1049		10,4	994	139	813	123	1580	881	39,5	15,6	1,1020
05/07/2004	15.00.00	2	1097		12,7	1074	156	776	138	1671	960	40,4	14,9	1,1033
05/07/2004	16.00.00	1,8	1087		11,1	1018	130	791	132	1624	883	40,1	16,1	1,1699
05/07/2004	17.00.00	3	1269		19,0	1269	173	633	174	1942	1221	39,3	18,9	1,3251
05/07/2004	18.00.00	4,3	1328		24,1	1405	302	584	203	2072	1518	37,3	19,9	1,2437
05/07/2004	19.00.00	3,5	1200		19,1	1270	239	654	176	1906	1264	33,6	22,9	1,1747
05/07/2004	20.00.00	2,5	1098		13,6	1105	139	732	125	1768	1061	30,7	28,9	1,2501
05/07/2004	21.00.00	1,8	1058		10,7	1004	92	776	98	1684	947	28,8	32,8	1,2776
05/07/2004	22.00.00	1,9	1081		11,3	1025	104	738	103	1757	1059	27,3	36,8	1,3207
05/07/2004	23.00.00	1,9	1062		9,6	962	108	776	104	1674	1030	26,2	39,7	1,3249
06/07/2004	00.00.00	1,9	1078		9,8	971	107	752	105	1694	1065	25,4	43,0	1,3700
06/07/2004	01.00.00	0,9	917		4,9	761	55	931	75	1497	893	25,8	41,0	1,3461
06/07/2004	02.00.00	0,7	881		4,1	718	43	965	60	1510	837	23,3	48,4	1,3677
06/07/2004	03.00.00	0,6	865		3,3	671		1012		1477	807	23,5	47,8	1,3607
06/07/2004	04.00.00	0,4	829		2,2	602	23	1123	36	1410	596	23,5	46,7	1,3361
06/07/2004	05.00.00	0,7	913		4,6	743	65	931	66	1540	884	21,8	52,3	1,3539
06/07/2004	06.00.00	1,6	1077		10,2	985	165	742	97	1780	1170	21,8	52,5	1,3529
06/07/2004	07.00.00	3,8	1337		23,3	1386	274	565	115	2196	1596	22,9	49,1	1,3546
06/07/2004	08.00.00	5,1	1467		31,0	1575	369	472	145	2460	1873	24,9	43,3	1,3422
06/07/2004	09.00.00	3,4	1257		17,6	1227	308	611	162	1954	1608	26,7	39,4	1,3556
06/07/2004	10.00.00	2,6	1227		14,3	1125	227	675	147	1835	1470	30,5	32,9	1,4135
06/07/2004	11.00.00	2,2	1188		13,7	1108	178	693	132	1818	1275	34,2	27,2	1,4404
06/07/2004	12.00.00	3,4	1301		19,3	1276	267	631	179	1953	1407	38,2	20,9	1,3701
06/07/2004	13.00.00	3,4	1201		19,3	1278	278	657	174	1892	1302	39,6	16,9	1,2028
06/07/2004	14.00.00	1,8	1058		11,3	1026	165	794	132	1622	931	39,9	15,8	1,1410
06/07/2004	15.00.00	2	1037		12,7	1075	172	789	151	1604	917	40,2	13,9	1,0200
06/07/2004	16.00.00	2,4	1055		15,3	1157	216	762	168	1674	985	39,6	13,2	0,9332
06/07/2004	17.00.00	3,8	1179		22,5	1364	306	661	192	1845	1265	39,5	12,6	0,8894
06/07/2004	18.00.00	4,4	1298		25,0	1430	317	632	194	1946	2475	37,9	13,9	0,9015
06/07/2004	19.00.00	3,9	1213		21,1	1327	251	654	155	1864	2021	34,2	17,9	0,9444
06/07/2004	20.00.00	4	1233		23,8	1398	230	613	159	1975	1834	32,6	20,6	0,9939
06/07/2004	21.00.00	2,5	1086		14,9	1145	154	737	125	1717	1426	30,4	23,2	0,9889
06/07/2004	22.00.00	2,1	1056		12,8	1078	137	765	108	1668	1272	28,8	25,1	0,9793
06/07/2004	23.00.00	2,4	1138		14,3	1128	133	681	110	1737	1490	27,8	29,9	1,1018
07/07/2004	00.00.00	2,1	1112		14,3	1128	117	675	99	1771	1440	26,9	32,6	1,1381
07/07/2004	01.00.00	1,6	992		9,2	948	106	773	95	1609	1271	26,3	33,7	1,1377
07/07/2004	02.00.00	0,8	895		5,1	767	55	931	69	1463	985	25,7	33,9	1,1065
07/07/2004	03.00.00	0,5	843		3,0	655		1046		1377	826	24,8	36,0	1,1109
07/07/2004	04.00.00	0,4	828		2,6	626	27	1073	45	1362	754	25,5	34,6	1,1096
07/07/2004	05.00.00	0,5	894		4,0	709	46	997	53	1432	853	24,0	37,8	1,1077
07/07/2004	06.00.00	1,3	1072		9,9	976	144	740	88	1673	1340	23,9	39,3	1,1522
07/07/2004	07.00.00	4,1	1425		27,3	1486	392	512	136	2305	1869	24,8	38,4	1,1808
07/07/2004	08.00.00	4,1	1428		27,9	1500	358	496	141	2275	2021	26,9	34,4	1,2036
07/07/2004	09.00.00	4	1359		24,5	1415	381	572	189	2081	1902	29,6	28,7	1,1706
07/07/2004	10.00.00	2,2	1182		14,2	1122	261	730	166	1707	1527	34,6	21,1	1,1398
07/07/2004	11.00.00	2	1117		11,9	1045	207	761	154	1623	1260	38,3	17,0	1,1216
07/07/2004	12.00.00	2	1119		13,1	1088	155	741	149	1640	1124	40,4	14,5	1,0736
07/07/2004	13.00.00	2,2	1068		15,1	1152	193	739	142	1683	1309	42,6	9,6	0,8012
07/07/2004	14.00.00	2,2	1090		14,1	1120	195	743	130	1629	1283	42,5	10,2	0,8478
07/07/2004	15.00.00	1,8	1056		11,3	1024	159	792	121	1555	1068	41,0	11,6	0,8872
07/07/2004	16.00.00	1,8	1098		10,8	1007	120	799	116	1546	937	41,3	13,0	1,0154
07/07/2004	17.00.00	3,3	1318		21,5	1339	228	635	177	1925	1416	39,2	14,5	1,0106
07/07/2004	18.00.00	4,3	1348		21,8	1347	348	599	233	1903	1611	36,9	17,9	1,0960
07/07/2004	19.00.00	5,3	1502		29,8	1546	337	538	223	2199	1919	35,6	20,4	1,1646
07/07/2004	20.00.00	4,3	1373		22,5	1364	282	597	184	2005	1745	33,7	22,6	1,1658
07/07/2004	21.00.00	3,6	1397		21,8	1346	228	580	165	2017	1837	31,5	27,8	1,2671
07/07/2004	22.00.00	2,4	1286		17,1	1214	168	620	132	1880	1759	31,1	29,3	1,3055
07/07/2004	23.00.00	2,1	1222		15,4	1161	173	661	122	1827	1593	30,2	30,9	1,3026
08/07/2004	00.00.00	1,2	1069		10,2	983	87	749	88	1627	1357	29,8	30,2	1,2502
08/07/2004	01.00.00	0,9	1011		7,2	864	65	809	79	1532	1231	28,4	32,5	1,2361
08/07/2004	02.00.00	0,6	962		5,8	803	43	853	60	1507	1066	27,5	34,0	1,2310
08/07/2004	03.00.00	0,5	919		4,2	723		910		1443	992	26,8	35,3	1,2243
08/07/2004	04.00.00		969		5,1	769	43	866	60	1485	1063	24,5	40,4	1,2251
08/07/2004	05.00.00	0,6	986		5,4	784	66	839	74	1503	1204	25,6	38,8	1,2545
08/07/2004	06.00.00	0,6	990		6,2	821	57	848	62	1511	1079	27,5	34,6	1,2518
08/07/2004	07.00.00	2,2	1296		16,9	1208	231	603	115	1914	1593	25,9	37,4	1,2289
08/07/2004	08.00.00	3,2	1371		23,2	1384	219	545	119	2082	1745	28,5	32,5	1,2441
08/07/2004	09.00.00	3	1385		18,0	1240	288	596	155	1919	1847	29,5	32,7	1,3229
08/07/2004	10.00.00	2,7	1381		17,6	1227	312	595	162	1903	1845	29,8	33,1	1,3693
08/07/2004	11.00.00	3,2	1396		20,3	1306	361	587	189	1934	1886	33,4	26,8	1,3586
08/07/2004	12.00.00	1,4	1070		10,6	1000	147	801	115	1538	1039	40,3	15,8	1,1604
08/07/2004	13.00.00	1,3	1076		9,9	972	111	819	109	1525	923	41,8	15,0	1,1989
08/07/2004	14.00.00	1,4	1126		10,7	1004	98	788	108	1609	926	41,1	15,7	1,2071
08/07/2004	15.00.00	2,1	1225		16,5	1196	156	673	145	1775	1277	41,9	14,8	1,1944
08/07/2004	16.00.00	2,4	1202		16,9	1206	213	671	167	1807	1301	40,9	14,6	1,1140
08/07/2004	17.00.00	3,1	1308		20,5	1310	250	628	200	1891	1385	39,1	16,9	1,1705
08/07/2004	18.00.00	3,5	1440		19,4	1281	253	580	178	2021	1474	36,4	27,3	1,6308
08/07/2004	19.00.00	5,1	1611		30,0	1552	317	487	206	2371	1948	34,9	29,3	1,6110
08/07/2004	20.00.00	4,5	1387		24,6	1419	309	559	192	2113	1677	33,6	26,4	1,3515
08/07/2004	21.00.00	2,9	1268		16,9	1206	201	648	137	1900	1434	32,2	27,6	1,3044
08/07/2004	22.00.00	2,6	1237		15,8	1175	173	660	128	1834	1424	30,5	29,7	1,2742
08/07/2004	23.00.00	2,7	1302		16,6	1198	156	628	121	1934	1504	29,4	35,6	1,4383
09/07/2004	00.00.00	3,2	1347		19,5	1282	190	575	136	1996	1661	29,1	34,8	1,3800
09/07/2004	01.00.00	2,3	1355		16,6	1198	129	564	109	1905	1714	27,7	41,9	1,5370
09/07/2004	02.00.00	1	1023		6,2	822	65	823	74	1585	1050	27,9	41,6	1,5425
09/07/2004	03.00.00	0,5	903		2,7	631		1070		1458	550	27,8	43,7	1,6039
09/07/2004	04.00.00	0,4	876		2,3	605	29	1144	40	1432	456	27,4	42,2	1,5177
09/07/2004	05.00.00	0,6	932		3,9	707	58	1011	61	1509	554	26,6	42,8	1,4713
09/07/2004	06.00.00	1	1020		7,2	866	92	847	83	1636	744	26,9	40,3	1,4041
09/07/2004	07.00.00	2,9	1264		18,1	1241	228	609	129	1989	1280	27,0	37,3	1,3081
09/07/2004	08.00.00	2,7	1179		15,1	1153	172	654		1877	1096	27,0	35,3	1,2396
09/07/2004	09.00.00	1,8	1079		9,7	966	154	785	115	1640	927	27,4	32,0	1,1545
09/07/2004	10.00.00	1,8	1036		9,4	955	166	829	130	1527	840	30,5	24,7	1,0592
09/07/2004	11.00.00	1,7	1002		9,6	964	149	828	137	1546	786	32,9	20,1	0,9902
09/07/2004	12.00.00	1,5	995		9,5	959	111	856	116	1544	690	33,9	18,4	0,9587
09/07/2004	13.00.00	1,7	1008		9,6	962	145	845	129	1545	742	34,4	19,3	1,0325
09/07/2004	14.00.00	1,3	978		9,6	962	105	846	117	1527	680	34,2	19,6	1,0399
09/07/2004	15.00.00	1,5	989		10,3	990	113	822	138	1577	705	33,2	20,4	1,0195
09/07/2004	16.00.00	1,5	961		10,2	985	115	845	139	1554	677	32,4	19,1	0,9150
09/07/2004	17.00.00	2,3	1009		14,0	1116	202	779	180	1602	877	32,2	17,1	0,8124
09/07/2004	18.00.00	2,2	970		14,0	1117	180	786	162	1579	844	31,0	17,1	0,7526
09/07/2004	19.00.00	2,8	1097		16,6	1199	190	699	158	1738	1006	28,3	24,9	0,9412
09/07/2004	20.00.00	2,7	1065		13,6	1105	207	723	162	1672	987	26,6	30,2	1,0330
09/07/2004	21.00.00	1,7	1036		10,2	986	113	776	112	1614	868	24,8	36,8	1,1357
09/07/2004	22.00.00	1,5	1049		9,5	958	98	794	104	1648	861	23,7	43,4	1,2495
09/07/2004	23.00.00	2,3	1147		11,8	1043	152	727	125	1719	1042	23,0	46,2	1,2815
10/07/2004	00.00.00	2,3	1118		13,0	1082	161	694	127	1792	1080	22,7	47,7	1,2977
10/07/2004	01.00.00	1,5	1016		9,6	963	91	776	95	1661	811	22,2	49,5	1,3081
10/07/2004	02.00.00	1	940		6,7	845	57	845	70	1539	704	21,6	51,9	1,3254
10/07/2004	03.00.00	0,5	836		2,9	643		1114		1405	522	22,3	50,4	1,3379
10/07/2004	04.00.00	0,3	831		2,6	626	22	1126	33	1406	484	22,4	49,7	1,3333
10/07/2004	05.00.00	0,4	877		4,0	711	41	1018	45	1475	580	21,7	52,0	1,3313
10/07/2004	06.00.00	0,5	872		4,3	725	53	976	56	1471	668	21,1	53,2	1,3181
10/07/2004	07.00.00	0,9	958		5,9	805	92	886	74	1551	835	22,0	51,0	1,3296
10/07/2004	08.00.00	1,1	959		6,8	848	91	859	84	1572	739	25,0	41,6	1,3010
10/07/2004	09.00.00	1,4	997		8,8	933	89	799	93	1612	763	26,7	36,4	1,2596
10/07/2004	10.00.00	1,1	916		6,7	843	81	891	97	1511	614	29,1	29,7	1,1751
10/07/2004	11.00.00	0,9	895		6,4	831	66	946	83	1473	566	31,2	23,4	1,0487
10/07/2004	12.00.00	0,8	855		6,0	812	53	982	71	1416	508	32,4	20,5	0,9806
10/07/2004	13.00.00	0,8	861		6,0	811	61	997	78	1409	509	33,3	19,2	0,9634
10/07/2004	14.00.00	0,6	821		5,0	766	48	1071	62	1323	457	33,1	16,8	0,8391
10/07/2004	15.00.00	0,6	835		4,4	731	39	1108	54	1323	438	33,1	18,3	0,9081
10/07/2004	16.00.00	0,5	813		4,4	732	41	1118	59	1303	427	32,4	18,0	0,8599
10/07/2004	17.00.00	0,7	833		5,5	786	48	1064	69	1328	453	31,8	18,7	0,8624
10/07/2004	18.00.00	0,8	859		5,8	803	50	1032	67	1363	479	30,3	21,4	0,9064
10/07/2004	19.00.00	0,9	887		5,3	778	51	978	58	1387	500	27,2	28,2	1,0013
10/07/2004	20.00.00	1,3	970		8,0	900	70	856	77	1559	647	26,1	33,7	1,1228
10/07/2004	21.00.00	1,3	990		7,2	866	89	866	94	1551	728	24,7	38,8	1,1929
10/07/2004	22.00.00	1,4	1022		8,0	899	100	846	97	1588	820	23,4	43,2	1,2290
10/07/2004	23.00.00	1,9	1075		10,4	993	139	781	110	1682	946	23,1	44,2	1,2317
11/07/2004	00.00.00	2,3	1088		11,6	1035	176	751	116	1713	1018	22,7	45,3	1,2299
11/07/2004	01.00.00	1	925		6,4	831	71	880	74	1513	789	21,6	47,5	1,2118
11/07/2004	02.00.00	0,5	853		4,1	716	37	994	51	1423	647	22,0	45,8	1,1965
11/07/2004	03.00.00	1	918		6,4	830		875		1548	785	20,4	51,3	1,2131
11/07/2004	04.00.00	0,4	796		2,7	636	30	1092	40	1387	576	20,6	50,3	1,2041
11/07/2004	05.00.00	0,3	796		2,6	628	29	1136	36	1385	555	20,6	50,6	1,2119
11/07/2004	06.00.00	0,2	795		2,3	606	25	1152	35	1369	552	21,3	48,8	1,2189
11/07/2004	07.00.00	0,4	842		3,1	656	40	1080	48	1427	620	20,4	52,6	1,2470
11/07/2004	08.00.00	0,3	850		3,1	659	32	1077	38	1402	557	23,5	44,0	1,2596
11/07/2004	09.00.00	0,6	884		4,0	709	43	1027	54	1442	556	25,7	37,9	1,2334
11/07/2004	10.00.00	0,6	907		4,6	741	44	983	57	1486	573	27,9	33,6	1,2433
11/07/2004	11.00.00	0,6	846		3,9	703	35	1034	54	1380	514	29,0	28,3	1,1116
11/07/2004	12.00.00	0,5	827		3,8	697	32	1070	46	1371	478	29,5	25,9	1,0489
11/07/2004	13.00.00	0,4	804		2,8	636	21	1185	36	1321	424	31,8	22,3	1,0366
11/07/2004	14.00.00	0,2	775		2,5	619	10	1254	19	1272	386	32,2	20,0	0,9488
11/07/2004	15.00.00	0,4	802		3,0	651	22	1206	34	1282	403	32,4	19,3	0,9220
11/07/2004	16.00.00	0,6	844		4,7	751	46	1064	63	1327	462	33,0	17,7	0,8758
11/07/2004	17.00.00	0,9	881		5,0	765	66	1029	86	1359	489	32,0	19,8	0,9273
11/07/2004	18.00.00	0,7	877		4,5	736	49	1077	65	1347	463	29,6	24,1	0,9831
11/07/2004	19.00.00	1,2	931		7,7	885	86	892	101	1467	585	26,9	27,1	0,9480
11/07/2004	20.00.00	1,6	1011		9,7	967	111	818	116	1565	748	25,3	30,9	0,9815
11/07/2004	21.00.00	1,8	1035		11,0	1015	143	757	124	1651	940	24,2	35,9	1,0684
11/07/2004	22.00.00	2,4	1153		11,8	1042	184	733	136	1700	1022	23,2	43,2	1,2104
11/07/2004	23.00.00	1,5	1020		8,7	929	134	805	108	1615	929	22,7	43,9	1,1962
12/07/2004	00.00.00	0,9	954		7,5	879	78	837	82	1550	834	21,6	44,0	1,1244
12/07/2004	01.00.00	0,8	903		5,7	800	50	911	68	1478	751	20,7	46,4	1,1198
12/07/2004	02.00.00	0,2	779		2,0	581	13	1204	22	1323	505	21,2	46,2	1,1482
12/07/2004	03.00.00	0,1	761		1,4	540		1269		1303	486	22,7	42,3	1,1491
12/07/2004	04.00.00		780		1,8	568	24	1200	34	1331	501	19,9	51,3	1,1803
12/07/2004	05.00.00	0,5	835		3,3	672	43	1053	43	1423	628	20,0	51,8	1,1967
12/07/2004	06.00.00	1,4	1004		9,4	955	146	758	84	1671	1043	18,5	57,4	1,2076
12/07/2004	07.00.00	3,3	1272		21,1	1328	333	567	108	2085	1463	19,6	54,3	1,2278
12/07/2004	08.00.00	3,6	1173		17,2	1217	298	625	112	1945	1358	21,3	49,7	1,2452
12/07/2004	09.00.00	1,7	986		8,5	922	178	820	104	1586	971	21,7	46,3	1,1867
12/07/2004	10.00.00	1,5	942		6,8	849	177	907	107	1496	894	23,4	39,4	1,1172
12/07/2004	11.00.00	1,6	957		7,4	875	172	891	102	1525	871	25,7	33,0	1,0763
12/07/2004	12.00.00	2,1	1024		12,1	1052	183	779	104	1690	952	28,5	27,3	1,0479
12/07/2004	13.00.00	2,1	962		9,6	963	164	835	96	1592	843	27,0	27,9	0,9812
12/07/2004	14.00.00	1,6	958		7,4	873	122	868	80	1550	750	24,2	36,9	1,0966
12/07/2004	15.00.00	1,3	933		6,4	831	105	888	72	1514	710	26,0	34,9	1,1509
12/07/2004	16.00.00	1,6	942		8,3	912	144	842	106	1551	814	24,8	33,1	1,0222
12/07/2004	17.00.00	3,1	1073		14,0	1117	220	693	119	1762	1052	24,0	36,3	1,0708
12/07/2004	18.00.00	3,3	1086		15,3	1159	207	686	119	1782	1060	23,6	35,5	1,0187
12/07/2004	19.00.00	3,4	1091		15,4	1161	210	682	128	1797	1153	23,6	35,7	1,0282
12/07/2004	20.00.00	2,8	980		10,9	1009	175	786	112	1625	986	23,3	34,5	0,9768
12/07/2004	21.00.00	1,5	904		7,5	877	117	890	95	1488	781	22,5	36,8	0,9880
12/07/2004	22.00.00	1,3	865		5,2	773	93	991	85	1414	653	21,3	38,7	0,9686
12/07/2004	23.00.00	1,6	898		7,1	863	118	911	101	1493	777	20,9	39,4	0,9596
13/07/2004	00.00.00	1,5	945		7,6	883	132	837	94	1563	1015	19,8	47,7	1,0930
13/07/2004	01.00.00	1	854		5,0	764	88	932	76	1476	922	19,3	51,4	1,1387
13/07/2004	02.00.00	0,5	751		2,0	587	43	1165	50	1353	678	18,4	53,4	1,1170
13/07/2004	03.00.00	0,4	723		1,5	544		1274		1315	584	18,8	51,1	1,1000
13/07/2004	04.00.00	0,6	754		2,5	620	44	1102	51	1372	725	16,3	59,8	1,1042
13/07/2004	05.00.00	0,7	758		3,3	670	50	1070	42	1365	688	16,6	56,8	1,0629
13/07/2004	06.00.00	1,3	873		7,3	871	101	871	62	1528	887	16,2	57,4	1,0515
13/07/2004	07.00.00	4	1176		23,8	1398	339	567	111	2120	1494	17,3	54,3	1,0631
13/07/2004	08.00.00	5	1257		27,6	1495	379	524	129	2245	1647	19,2	48,8	1,0751
13/07/2004	09.00.00	3,6	1137		16,7	1200	321	648	135	1821	1489	21,7	42,4	1,0859
13/07/2004	10.00.00	2,8	1064		14,3	1126	272	711	139	1656	1361	26,4	29,9	1,0138
13/07/2004	11.00.00	2,6	1026		13,3	1094	278	769	134	1629	1224	31,3	19,1	0,8634
13/07/2004	12.00.00	2,7	986		14,5	1133	253	773	141	1619	1174	33,7	15,4	0,7913
13/07/2004	13.00.00	2,3	908		11,5	1031	187	857	112	1469	901	34,5	13,3	0,7158
13/07/2004	14.00.00	2	888		10,8	1007	149	870	105	1448	794	33,8	13,9	0,7172
13/07/2004	15.00.00	1,3	843		6,4	830	89	995	72	1339	577	30,1	19,4	0,8157
13/07/2004	16.00.00	1,7	905		8,8	931	124	876	90	1460	776	28,3	21,3	0,8054
13/07/2004	17.00.00	2,8	1023		14,3	1127	206	760	126	1635	982	31,9	18,3	0,8523
13/07/2004	18.00.00	3,8	1125		19,4	1279	241	662	154	1840	1256	32,0	20,1	0,9364
13/07/2004	19.00.00	4,9	1211		27,1	1483	303	586	173	2092	1483	28,9	24,1	0,9495
13/07/2004	20.00.00	4,3	1140		19,7	1289	294	634	162	1884	1390	27,3	27,1	0,9670
13/07/2004	21.00.00	2,6	1029		13,6	1105	203	737	128	1666	1195	26,0	28,5	0,9484
13/07/2004	22.00.00	2,4	981		12,1	1054	176	768	120	1592	1135	25,2	28,6	0,9008
13/07/2004	23.00.00	1,9	971		11,0	1014	155	788	111	1585	1115	24,3	31,1	0,9316
14/07/2004	00.00.00	1,4	927		8,8	930	108	840	89	1522	1026	23,6	33,8	0,9685
14/07/2004	01.00.00	1,1	868		6,7	846	72	925	69	1448	836	23,0	33,8	0,9406
14/07/2004	02.00.00	0,9	863		6,3	824	65	905	70	1469	925	22,2	38,4	1,0126
14/07/2004	03.00.00	0,7	820		4,1	716		994		1380	933	20,4	42,6	1,0083
14/07/2004	04.00.00	0,5	777		2,9	645	39	1076	59	1334	781	20,5	42,3	1,0091
14/07/2004	05.00.00	0,8	855		5,0	762	79	942	73	1444	959	18,8	49,0	1,0505
14/07/2004	06.00.00	1,3	960		9,9	973	140	769	89	1616	1155	18,8	49,4	1,0624
14/07/2004	07.00.00	4,7	1310		27,5	1492	427	527	142	2194	1686	19,9	46,5	1,0710
14/07/2004	08.00.00	4,6	1339		30,4	1561	366	498	145	2357	1791	22,1	41,7	1,0980
14/07/2004	09.00.00	3,7	1211		19,8	1290	311	606	156	1913	1643	24,0	36,4	1,0706
14/07/2004	10.00.00	2,8	1068		15,7	1171	275	711	148	1717	1360	30,2	22,8	0,9616
14/07/2004	11.00.00	1,8	932		11,3	1026	195	851	122	1523	944	33,4	17,1	0,8627
14/07/2004	12.00.00	1,9	949		12,6	1069	144	819	106	1547	905	35,1	15,0	0,8381
14/07/2004	13.00.00	2	944		11,9	1045	162	829	106	1525	884	34,1	16,0	0,8408
14/07/2004	14.00.00	2	966		14,4	1131	200	800	127	1612	968	35,7	13,6	0,7836
14/07/2004	15.00.00	2,1	940		12,4	1063	176	848	113	1539	929	35,3	13,8	0,7767
14/07/2004	16.00.00	2,1	934		11,7	1041	203	865	136	1496	936	32,3	16,7	0,7946
14/07/2004	17.00.00	3,2	1052		18,4	1252	237	739	153	1729	1107	36,0	13,3	0,7773
14/07/2004	18.00.00	4	1109		22,9	1374	263	676	172	1795	1225	35,8	13,7	0,7868
14/07/2004	19.00.00	4,6	1169		25,0	1430	300	636	190	1901	1372	32,3	18,4	0,8753
14/07/2004	20.00.00	3	1093		15,5	1163	189	717	160	1705	1139	29,7	25,0	1,0246
14/07/2004	21.00.00	2,9	1084		16,7	1200	185	686	159	1753	1505	27,8	26,6	0,9748
14/07/2004	22.00.00	1,9	970		11,2	1023	134	787	123	1552	1074	26,3	27,3	0,9238
14/07/2004	23.00.00	1,4	951		9,0	939	96	849	101	1488	868	25,3	30,0	0,9508
15/07/2004	00.00.00	2,1	1038		12,1	1053	122	744	116	1631	1095	24,0	34,9	1,0271
15/07/2004	01.00.00	1,2	950		8,9	937	64	802	80	1566	989	23,4	38,6	1,0968
15/07/2004	02.00.00	0,6	831		3,7	695	30	1033	51	1355	658	23,5	38,3	1,0972
15/07/2004	03.00.00	0,4	813		3,1	656		1070		1332	603	22,0	42,6	1,1146
15/07/2004	04.00.00		797		2,5	621	23	1105	37	1303	562	21,6	44,0	1,1225
15/07/2004	05.00.00	0,4	824		3,1	660	36	1033	46	1342	618	21,4	45,6	1,1493
15/07/2004	06.00.00	0,7	879		5,7	796	58	912	64	1454	747	21,1	47,1	1,1641
15/07/2004	07.00.00	2,3	1132		15,6	1166	168	652	108	1827	1229	21,3	48,4	1,2119
15/07/2004	08.00.00	4	1291		25,2	1434	306	526	151	2239	1494	22,9	47,9	1,3208
15/07/2004	09.00.00	2,8	1193		15,4	1160	231	630	153	1927	1281	24,4	45,5	1,3721
